City Name,Country,Latitude,Longitude,Max Temperature [C],Humidity,Cloudiness,Wind Speed
Teknāf,BD,20.86,92.31,29.060000000000002,60,0,2.3711564000000003
Upernavik,GL,72.79,-56.15,-7.149999999999977,89,100,16.2401844
Asha,RU,55.0,57.27,-12.449999999999989,92,48,1.4092722000000002
Ambon City,ID,-3.7,128.18,33.14999999999998,63,40,8.052984
Rawson,AR,-43.3,-65.1,18.139999999999986,37,58,8.522741400000001
Avarua,CK,-21.21,-159.78,26.149999999999977,83,13,16.105968
Montataire,FR,49.26,2.44,10.70999999999998,87,75,16.105968
Yar-Sale,RU,66.83,70.83,-12.879999999999995,94,93,5.905521600000001
Nanortalik,GL,60.14,-45.24,-2.7200000000000273,83,0,7.180577400000001
Hilo,US,19.73,-155.09,25.149999999999977,78,40,3.35541
Hobart,AU,-42.88,147.33,20.149999999999977,63,75,6.934514000000001
Yellowknife,CA,62.46,-114.35,-16.850000000000023,84,40,4.697574
Port Alfred,ZA,-33.59,26.89,18.850000000000023,90,100,11.4978716
Hermanus,ZA,-34.42,19.23,11.259999999999991,87,68,10.2004464
Punta Arenas,CL,-53.15,-70.92,8.149999999999977,65,0,29.974996000000004
Butaritari,KI,3.07,172.79,27.810000000000002,72,84,11.6768268
Puerto Ayora,EC,-0.74,-90.35,21.25999999999999,87,96,8.008245200000001
Bethel,US,41.37,-73.41,12.149999999999977,71,90,11.408394
Chul'man,RU,56.85,124.91,-12.670000000000016,90,94,8.321416800000002
Rikitea,PF,-23.12,-134.97,24.639999999999986,79,24,7.5161184
Okhotsk,RU,59.38,143.3,-13.240000000000009,87,23,17.850781200000004
Chokurdakh,RU,70.63,147.92,-29.49000000000001,89,72,2.8409138
Panalingaan,PH,8.78,117.42,31.850000000000023,59,16,5.1002232
Saint-Philippe,RE,-21.36,55.77,23.149999999999977,46,75,6.934514000000001
Busselton,AU,-33.65,115.33,19.589999999999975,63,58,1.9908766000000002
Leningradskiy,RU,69.38,178.42,-4.230000000000018,91,89,7.5161184
Albany,US,42.6,-73.97,9.589999999999975,94,100,6.0173686
Amarillo,US,35.22,-101.83,9.149999999999977,26,1,16.105968
Mosquera,CO,4.71,-74.23,12.149999999999977,100,75,2.3935258000000004
Khomeyn,IR,33.64,50.08,3.7200000000000273,74,0,1.2079476000000002
Vaini,TO,-21.2,-175.2,26.149999999999977,83,75,5.816044000000001
Båtsfjord,NO,70.63,29.72,5.8700000000000045,86,89,18.0968446
Mataura,NZ,-46.19,168.86,15.149999999999977,77,48,21.004866600000003
Jamestown,US,42.1,-79.24,4.589999999999975,60,90,26.395892000000003
Beruwala,LK,6.48,79.98,24.360000000000014,94,100,10.692573200000002
Velikiy Ustyug,RU,60.76,46.31,-5.759999999999991,95,47,4.608096400000001
Las Vegas,US,36.17,-115.14,15.149999999999977,24,1,5.816044000000001
Champerico,GT,14.3,-91.92,19.04000000000002,96,1,4.3172942
Bilma,NE,18.69,12.92,19.120000000000005,35,0,8.4332638
Hals,DK,57.0,10.31,7.930000000000007,94,100,2.9974996000000003
Los Llanos de Aridane,ES,28.66,-17.92,21.149999999999977,83,0,2.23694
Coyote,MX,25.7,-103.27,24.149999999999977,36,5,11.2070694
Hong Kong,HK,22.29,114.16,28.480000000000018,63,4,15.994121000000002
Lebu,CL,-37.62,-73.65,10.620000000000005,84,0,18.387646800000002
Bredasdorp,ZA,-34.53,20.04,10.149999999999977,87,47,2.23694
Barrow,US,71.29,-156.79,-7.850000000000023,78,75,16.105968
Chui,UY,-33.7,-53.46,16.94999999999999,86,40,9.484625600000001
Yerbogachën,RU,61.28,108.01,-16.110000000000014,91,57,8.925390600000002
Sørkjosen,NO,69.8,20.93,5.100000000000023,74,100,7.404271400000001
Hornepayne,CA,49.21,-84.77,-1.490000000000009,97,100,16.4191396
Nadym,RU,65.53,72.52,-14.180000000000007,93,100,9.283301000000002
Nizhniy Odes,RU,63.64,54.86,-4.100000000000023,99,91,4.115969600000001
George Town,MY,5.41,100.34,31.149999999999977,74,20,3.35541
Bajram Curri,AL,42.36,20.08,11.149999999999977,87,75,2.23694
Skibbereen,IE,51.55,-9.27,7.149999999999977,81,75,10.289924
Pangnirtung,CA,66.15,-65.71,-9.470000000000027,90,96,3.7804286
